Relator,Name,Number of Generators,Torsion,Abelianisation,Small Cancellation,Center,Free-by-cyclic,Geometric,Manifold,Knot,Link Exterior,Further Information,References
aaaaabbbaB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaaabbbbb,"T(5,5)",2,False,Z^1+Z/5Z,False,bbbbb,True,True,,,,,
aaaaabbbAb,,2,False,Z^1+Z/4Z,False,,True,False,,,,,
aaaaabbbAB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaaabbAbb,,2,False,Z^1+Z/4Z,False,,True,True,,,,,
aaaaabbAAb,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
aaaaabbAAB,,2,False,Z^1,False,,True,False,,,,,
aaaaabbABB,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaaaabAbbb,,2,False,Z^1+Z/4Z,False,,True,False,,,,,
aaaaabAAbb,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
aaaaabAAAB,"BS(5,3)",2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaaaabAABB,,2,False,Z^1,False,,True,False,,,,,
aaaaabABBB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabaaaaB,"BS(4,-4)",2,False,Z^1+Z/8Z,False,,False,,,,,,
aaaabaaaBB,,2,False,Z^1,False,,True,False,,,,,
aaaabaabbb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabaaBBB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaababaBB,,2,False,Z^1+Z/6Z,False,,False,False,,,,,
aaaababbaB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaababbbb,,2,False,Z^1+Z/5Z,False,,False,False,,,,,
aaaababbAb,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaaababbAB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaababAbb,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaaababABB,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaaabaBabb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabaBaBB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabaBAbb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabaBABB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabaBBab,,2,False,Z^1+Z/6Z,False,,True,True,m010,,,,
aaaabaBBAb,,2,False,Z^1+Z/4Z,False,,True,False,,,,,
aaaabaBBBB,,2,False,Z^1,False,,True,False,,,,,
aaaabbaaaB,,2,False,Z^1,False,,True,False,,,,,
aaaabbaabb,,2,False,Z^1+Z/2Z,False,bbbb,True,False,,,,,
aaaabbaaBB,,2,False,Z^1+Z/6Z,False,,False,False,,,,,
aaaabbabaB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabbabbb,,2,False,Z^1+Z/5Z,False,,True,False,,,,,
aaaabbabAb,,2,False,Z^1+Z/4Z,False,,True,False,,,,,
aaaabbabAB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabbaBab,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabbaBAb,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaaabbaBAB,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaaabbaBBB,,2,False,Z^1,False,,True,False,,,,,
aaaabbbaab,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabbbaaB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabbbabb,,2,False,Z^1+Z/5Z,False,,True,False,,,,,
aaaabbbaBB,,2,False,Z^1,False,,True,False,,,,,
aaaabbbbaB,,2,False,Z^1,False,,True,False,,,,,
aaaabbbbAB,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
aaaabbbAbb,,2,False,Z^1,False,,True,False,,,,,
aaaabbbAAb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabbbAAB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabbbABB,,2,False,Z^1,False,,True,False,,,,,
aaaabbAbab,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaaabbAbbb,,2,False,Z^1,False,,True,False,,,,,
aaaabbAAbb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabbAAAb,,2,False,Z^1,False,,True,False,,,,,
aaaabbAAAB,,2,False,Z^1,False,,True,False,,,,,
aaaabbAABB,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaaabbABAB,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaaabbABBB,,2,False,Z^1,False,,True,False,,,,,
aaaabAbabb,,2,False,Z^1+Z/4Z,False,,True,False,,,,,
aaaabAbbab,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaaabAAbbb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabAAAbb,,2,False,Z^1,False,,True,False,,,,,
aaaabAAAAB,"BS(4,4)",2,False,Z^2,False,aaaa,True,,,,8^2_1,,
aaaabAAABB,,2,False,Z^1,False,,True,False,,,,,
aaaabAABBB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabABaBB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabABABB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaaabABBAb,,2,False,Z^1+Z/2Z,False,,True,True,m009,,,,
aaabaaabbb,,2,False,Z^1+Z/2Z,False,,True,True,,,,,
aaabaaaBBB,,2,False,Z^1+Z/2Z,False,,True,True,,,,,
aaabaabaBB,,2,False,Z^1+Z/6Z,False,,False,False,,,,,
aaabaabbaB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaabaabbAb,,2,False,Z^1+Z/4Z,False,,True,False,,,,,
aaabaabbAB,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabaabAbb,,2,False,Z^1+Z/4Z,False,,True,False,,,,,
aaabaabABB,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaabaaBabb,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabaaBaBB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaabaaBAbb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaabaaBABB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaabaaBBab,,2,False,Z^1+Z/6Z,False,,False,False,,,,,
aaabaaBBAb,,2,False,Z^1+Z/4Z,False,,False,False,,,,,
aaababaaBB,,2,False,Z^1+Z/6Z,False,,False,False,,,,,
aaababaBBB,,2,False,Z^1,False,,True,False,,,,,
aaababbaaB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaababbaBB,,2,False,Z^1,False,,True,False,,,,,
aaababbbaB,,2,False,Z^1,False,,True,False,,,,,
aaababbbAb,,2,False,Z^1,False,,True,False,,,,,
aaababbbAB,,2,False,Z^1+Z/3Z,False,,False,False,,,,,
aaababbAbb,,2,False,Z^1,False,,True,False,,,,,
aaababbAAb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaababbAAB,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaababbABB,,2,False,Z^1,False,,True,False,,,,,
aaababAbbb,,2,False,Z^1,False,,True,False,,,,,
aaababAAbb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaababAABB,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaababABBB,,2,False,Z^1,False,,True,False,,,,,
aaabaBaabb,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabaBaaBB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaabaBabaB,,2,False,Z^1+Z/6Z,False,,False,,,,,,
aaabaBabbb,,2,False,Z^1,False,,True,False,,,,,
aaabaBabAB,,2,False,Z^1+Z/4Z,False,,False,,,,,,
aaabaBaBBB,,2,False,Z^1,False,,True,False,,,,,
aaabaBAbaB,,2,False,Z^1+Z/4Z,False,,False,,,,,,
aaabaBAbbb,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
aaabaBAbAB,,2,False,Z^1+Z/2Z,False,,False,,,,,,
aaabaBAAbb,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaabaBAABB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
aaabaBABBB,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
aaabaBBabb,,2,False,Z^1,False,,True,False,,,,,
aaabaBBaBB,,2,False,Z^1,False,,True,False,,,,,
aaabaBBAbb,,2,False,Z^1,False,,False,False,,,,,
aaabaBBAAb,,2,False,Z^1+Z/2Z,False,,False,False,,,,,
aaabaBBABB,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
aaabaBBBab,,2,False,Z^1,False,,True,True,m011,,,,
aaabaBBBAb,,2,False,Z^1,False,,True,False,,,,,
aaabaBBBAB,,2,False,Z^1+Z/3Z,False,,True,False,,,,,
aaabbaaabb,,2,aaabb,Z^1+Z/2Z,False,,False,False,,,,,
aaabbaaaBB,,2,False,Z^1+Z/6Z,False,,False,False,,,,,
aaabbaabaB,,2,False,Z^1+Z/2Z,False,,True,False,,,,,
